num_sen,num_ip,hit_ip,rate,hit_A,hit_B,time100,time_avg
60334,100,24,0.24,50,51,14.978344202041626,0.14947778701782227
123778,100,47,0.47,70,69,30.531466245651245,0.3049764347076416
187222,100,72,0.72,84,85,45.45449686050415,0.4542100381851196
250666,100,85,0.85,94,91,60.723302602767944,0.6069152975082397
58946,100,34,0.34,58,53,17.082217693328857,0.17051876068115235
119432,100,67,0.67,78,85,34.22555494308472,0.34193766832351685
179918,100,87,0.87,90,95,52.37607669830322,0.5234131169319153
240404,100,94,0.94,94,99,70.10995817184448,0.7007454228401184
26540,100,9,0.09,40,27,6.9166412353515625,0.06880439281463623
54998,100,33,0.33,58,58,13.518648147583008,0.13485561370849608
83456,100,44,0.44,68,70,20.181734800338745,0.2014922833442688
111914,100,58,0.58,79,75,27.44121503829956,0.2740854048728943
41051,100,22,0.22,45,49,11.632073640823364,0.11602120876312255
83075,100,51,0.51,64,77,23.527069568634033,0.23496400356292724
125099,100,68,0.68,75,91,34.77924156188965,0.34747318506240843
167123,100,80,0.8,84,96,47.031500577926636,0.4699742412567139
66640,100,37,0.37,60,61,18.803465604782104,0.18771806478500366
135184,100,70,0.7,78,88,38.08234095573425,0.38046475648880007
203728,100,84,0.84,89,94,57.00377154350281,0.5696449780464172
272272,100,92,0.92,95,97,74.73889183998108,0.747041494846344
53061,100,26,0.26,51,51,13.489464282989502,0.13453712940216064
108855,100,61,0.61,82,75,27.73641800880432,0.2770004391670227
164649,100,76,0.76,87,88,41.46998953819275,0.4143083739280701
220443,100,89,0.89,96,93,55.33769750595093,0.5529830837249756
47613,100,22,0.22,53,41,13.623948574066162,0.13591376304626465
96369,100,56,0.56,83,68,26.871536254882812,0.268357834815979
145125,100,74,0.74,91,82,41.23167848587036,0.41195072889328005
193881,100,90,0.9,98,92,53.13576817512512,0.5309953784942627
75739,100,46,0.46,66,72,22.89741039276123,0.22865499496459962
153361,100,85,0.85,89,95,45.9280469417572,0.45892966747283936
230983,100,92,0.92,94,98,68.43759274482727,0.6840207171440125
308605,100,96,0.96,97,99,91.76734709739685,0.9173161816596985
52157,100,23,0.23,49,48,15.634227752685547,0.15601252079010008
105911,100,59,0.59,79,77,30.870908975601196,0.3083648943901062
159665,100,84,0.84,94,89,46.77644872665405,0.46743881225585937
213419,100,94,0.94,96,98,62.84630846977234,0.6281191039085389
66848,100,29,0.29,59,48,19.362327575683594,0.19330038547515868
135392,100,69,0.69,87,79,37.8640239238739,0.3783149528503418
203936,100,89,0.89,94,95,56.86566162109375,0.5683154153823853
272480,100,95,0.95,95,100,76.15394043922424,0.7611796927452087
53793,100,22,0.22,43,56,14.813152074813843,0.14776268482208252
109485,100,57,0.57,72,81,28.378185987472534,0.2834652996063232
165177,100,85,0.85,95,90,42.96150088310242,0.4292593860626221
220869,100,93,0.93,98,95,57.880005836486816,0.5784510540962219
13857,100,4,0.04,19,20,3.3878836631774902,0.03356948375701904
28443,100,13,0.13,26,38,6.8556554317474365,0.06822360038757325
43029,100,21,0.21,43,46,10.230218410491943,0.1019727873802185
57615,100,29,0.29,54,54,13.81369137763977,0.13780163764953612
56420,100,28,0.28,55,53,16.74847149848938,0.16714310884475708
114662,100,61,0.61,81,78,33.280924558639526,0.3324609279632568
172904,100,85,0.85,95,90,57.124587297439575,0.57087317943573
231146,100,90,0.9,96,94,67.53594589233398,0.6750015759468079
51849,100,36,0.36,68,50,14.664752721786499,0.14631380319595336
105093,100,68,0.68,87,78,28.851117372512817,0.2881764245033264
158337,100,86,0.86,96,90,42.64265704154968,0.42609370470047
211581,100,95,0.95,99,96,57.09830594062805,0.5706558728218079
20875,100,5,0.05,28,26,4.903504133224487,0.048751821517944334
43315,100,17,0.17,49,41,10.286195278167725,0.10255911111831666
65755,100,36,0.36,59,59,15.392985105514526,0.15362042903900147
88195,100,55,0.55,75,70,21.362146854400635,0.21329401969909667
62270,100,41,0.41,65,60,18.913918495178223,0.1887980008125305
126530,100,74,0.74,88,86,35.99971342086792,0.3596734666824341
190790,100,90,0.9,94,96,53.92911648750305,0.5389609718322754
255050,100,95,0.95,96,99,72.41772198677063,0.7238508915901184
47422,100,24,0.24,52,48,13.292596578598022,0.13262666940689086
96280,100,55,0.55,69,79,25.87637209892273,0.25845285654067995
145138,100,75,0.75,81,92,39.677626609802246,0.3964367771148682
193996,100,83,0.83,86,96,52.15118384361267,0.5211880207061768
51703,100,29,0.29,55,45,13.842881202697754,0.1381057620048523
105865,100,66,0.66,82,77,27.927428722381592,0.27895342111587523
160027,100,82,0.82,89,90,42.75012707710266,0.4271651124954224
214189,100,94,0.94,96,97,56.883098125457764,0.5684758949279786
80432,100,48,0.48,73,65,23.32400369644165,0.2328998875617981
163358,100,82,0.82,91,91,47.2188618183136,0.4718562459945679
246284,100,95,0.95,98,97,70.67461037635803,0.7063997936248779
329210,100,100,1.0,100,100,95.5578019618988,0.9552332425117492
43777,100,23,0.23,39,54,12.105409622192383,0.12074670791625977
89065,100,52,0.52,66,75,24.352099657058716,0.24320075988769532
134353,100,74,0.74,84,85,35.350319147109985,0.35318852186203004
179641,100,85,0.85,90,95,47.599133253097534,0.47567267417907716
70182,100,19,0.19,43,46,17.63684844970703,0.1760567045211792
143622,100,57,0.57,75,73,36.000648498535156,0.35967538356781004
217062,100,73,0.73,85,84,57.16146802902222,0.5712500309944153
290502,100,82,0.82,90,90,70.9750120639801,0.7094080448150635
49717,100,22,0.22,44,48,13.19225549697876,0.13161624908447267
101533,100,53,0.53,77,72,26.516650676727295,0.2648171305656433
153349,100,73,0.73,89,83,40.04842400550842,0.4001799130439758
205165,100,88,0.88,96,92,52.85242986679077,0.5281449460983276
7304,100,0,0.0,8,10,1.7597918510437012,0.01736713409423828
15566,100,3,0.03,16,17,3.6628193855285645,0.03635077714920044
23828,100,5,0.05,23,25,5.507868528366089,0.054811038970947266
32090,100,8,0.08,27,33,7.7953126430511475,0.07765283823013305
64822,100,43,0.43,66,62,18.743083000183105,0.18711760520935058
131734,100,75,0.75,88,83,38.46522331237793,0.38430310726165773
198646,100,92,0.92,97,95,56.76778531074524,0.567330539226532
265558,100,98,0.98,100,98,76.27020812034607,0.762361843585968
48873,100,25,0.25,55,46,13.373626470565796,0.13342243194580078
99465,100,59,0.59,80,69,26.953142404556274,0.2691969442367554
150057,100,78,0.78,90,86,40.7629292011261,0.4072775411605835
200649,100,85,0.85,92,93,53.445207834243774,0.5341212463378906
63985,100,34,0.34,51,64,18.86762547492981,0.18836023569107055
129877,100,73,0.73,87,85,38.310628175735474,0.3827817726135254
195769,100,91,0.91,96,95,57.362377882003784,0.5732706999778747
261661,100,98,0.98,100,98,75.7332832813263,0.7569987940788269
73029,100,50,0.5,74,66,21.528652906417847,0.21497854709625244
147489,100,84,0.84,92,91,42.6091582775116,0.425773446559906
221949,100,94,0.94,95,99,65.30833697319031,0.6526947259902954
296409,100,99,0.99,99,100,86.67981696128845,0.8664412665367126
32938,100,18,0.18,39,41,9.005425453186035,0.08976703405380249
66802,100,40,0.4,61,64,17.89437747001648,0.17864689350128174
100666,100,61,0.61,76,78,27.28874182701111,0.2725727248191834
134530,100,78,0.78,91,85,35.956512689590454,0.35925771951675417
63840,100,45,0.45,64,67,18.05470299720764,0.18024276733398437
129630,100,78,0.78,90,87,35.915013790130615,0.3588182187080383
195420,100,88,0.88,95,93,54.243887186050415,0.5421094155311584
261210,100,96,0.96,97,99,71.52355337142944,0.7148879218101502
59842,100,41,0.41,64,61,17.430811166763306,0.1739856219291687
121144,100,72,0.72,84,86,34.2301926612854,0.3419521856307983
182446,100,86,0.86,94,92,50.850693464279175,0.5081762504577637
243748,100,93,0.93,97,96,67.9588360786438,0.6792391681671143
58237,100,28,0.28,49,56,16.207866430282593,0.16176289081573486
118111,100,71,0.71,79,90,32.145631313323975,0.3211237668991089
177985,100,85,0.85,88,97,48.92038297653198,0.4888685417175293
237859,100,87,0.87,90,97,63.73456597328186,0.6370276856422424
38896,100,26,0.26,46,48,10.474372625350952,0.10445239543914794
79492,100,50,0.5,73,69,21.044774532318115,0.21015021324157715
120088,100,76,0.76,88,87,31.610292673110962,0.3157843255996704
160684,100,87,0.87,94,93,42.88146710395813,0.42847957611083987
44120,100,24,0.24,51,48,11.624608993530273,0.11595558643341064
89714,100,55,0.55,72,74,22.969006299972534,0.22938628911972045
135308,100,66,0.66,76,87,34.77037024497986,0.3473911595344543
180902,100,87,0.87,91,95,47.35585284233093,0.47321940660476686
49197,100,25,0.25,49,50,14.159226417541504,0.1412766146659851
99789,100,53,0.53,70,75,27.444113969802856,0.274121356010437
150381,100,80,0.8,89,88,41.09982705116272,0.4106714653968811
200973,100,91,0.91,97,93,54.539682149887085,0.5450604486465455
51832,100,32,0.32,58,57,15.791862487792969,0.1575964641571045
104770,100,64,0.64,85,76,31.2157084941864,0.31182279348373415
157708,100,79,0.79,91,86,45.64769244194031,0.4561524510383606
210646,100,86,0.86,93,93,62.20368432998657,0.6217095470428466
75580,100,47,0.47,74,64,24.20111083984375,0.24168256044387817
152080,100,85,0.85,93,91,46.87854075431824,0.4684478759765625
228580,100,96,0.96,98,98,69.49981737136841,0.6946478581428528
305080,100,100,1.0,100,100,93.7427773475647,0.9370836997032166
74322,100,38,0.38,63,59,21.977965354919434,0.21947450160980225
150210,100,74,0.74,86,85,43.70954751968384,0.43676849365234377
226098,100,90,0.9,95,95,71.4427170753479,0.7140577101707458
301986,100,100,1.0,100,100,87.11359143257141,0.8707966017723083
39514,100,18,0.18,47,37,10.579708576202393,0.10549475431442261
80518,100,45,0.45,72,63,21.602968454360962,0.21570682287216186
121522,100,66,0.66,85,78,31.832727670669556,0.31801273584365847
162526,100,77,0.77,89,85,42.48094081878662,0.42448719501495363
31896,100,14,0.14,33,27,8.944836616516113,0.08913320779800415
64536,100,32,0.32,56,53,17.546703815460205,0.17515134572982788
97176,100,50,0.5,77,66,27.090272665023804,0.2705453562736511
129816,100,66,0.66,88,75,34.59073448181152,0.3455778694152832
50218,100,32,0.32,67,53,13.969325542449951,0.1392897152900696
102034,100,73,0.73,88,82,27.21802806854248,0.2718608212471008
